Row Labels,Count of tweet,,percent,,,,,
Happy,20,,,,,,,
Happy,16,,80,,,,,
Normal,4,,,,,,,
Normal,94,,,,,,,
Happy,20,,,,,,,
Normal,60,,,,,,,
Sad,14,,,,,,,
Sad,7,,,,,,,
Normal,3,,,,,,,
Sad,4,,,,,,,
Grand Total,121,,,,,,,
,,,,Total no of Tweets : 121,,,,
,,,,,,,,
,,,,Sentiment,Algo,Manual,Accuracy Percentage,
,,,,Happy,20,16,80,
,,,,Sad,7,4,57.14285714,
,,,,Normal,94,60,63.82978723,
,,,,Total,121,80,66.11570248,
,,,,,,,,
,,,,Total Accuracy of our Algorithm is 66 %.,,,,
,,,,Once No of tweets increases accuracy increases.,,,,
,,,,,,,,
